date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-08-08 13:30:00,249.15,249.54,248.35,249.03,2129650.0,0.6182,248.1808,52.299,248.70379127954808,248.1808,247.65780872045192
2023-08-08 13:45:00,249.01,249.76,248.65,249.159,2439259.0,0.8578,248.2868,52.8764,248.77328934056507,248.2868,247.80031065943493
2023-08-08 14:00:00,249.155,249.986,248.71,249.765,2302440.0,1.0458,248.416,55.5377,248.8973952724197,248.416,247.9346047275803
2023-08-08 14:15:00,249.769,250.29,249.41,249.7,2715370.0,0.9011,248.5275,55.1858,249.02035430880883,248.5275,248.03464569119117
2023-08-08 14:30:00,249.71,249.99,249.13,249.37,2152308.0,0.886,248.637,53.3784,249.10678418723572,248.637,248.16721581276428
2023-08-08 14:45:00,249.36,250.46,249.28,250.045,2275009.0,1.2451,248.7908,56.4495,249.28351299440672,248.7908,248.29808700559326
2023-08-08 15:00:00,250.06,250.21,249.19,249.52,2548748.0,0.3212,248.8307,53.5609,249.27336666151805,248.8307,248.38803333848196
2023-08-08 15:15:00,249.528,249.88,248.91,249.507,2741868.0,-0.2451,248.8001,53.4896,249.8166085157999,248.8001,247.78359148420006
2023-08-08 15:30:00,249.52,249.86,248.629,249.622,3091043.0,-0.426,248.7467,54.0594,250.16527107047645,248.7467,247.32812892952356
2023-08-08 15:45:00,249.58,250.32,249.55,249.62,3453899.0,0.2168,248.7737,54.0473,250.53103084421477,248.7737,247.0163691557852
2023-08-08 16:00:00,249.6,249.72,249.25,249.41,2651663.0,0.2371,248.8032,52.7402,250.80984058387926,248.8032,246.79655941612074
2023-08-08 16:15:00,249.7,249.82,249.33,249.4,67486.0,0.5645,248.8732,52.6763,251.07173821720733,248.8732,246.67466178279267
2023-08-08 16:30:00,249.41,249.7,249.33,249.4,24509.0,1.1026,249.0092,52.6763,251.3498507067733,249.0092,246.66854929322668
2023-08-08 16:45:00,249.38,249.49,249.33,249.355,12462.0,0.9931,249.1318,52.3602,251.58526979504796,249.1318,246.67833020495203
2023-08-08 17:00:00,249.34,249.37,248.88,248.99,35393.0,0.5858,249.2043,49.8083,251.7369650723194,249.2043,246.67163492768057
2023-08-08 17:15:00,248.985,249.28,248.9,249.09,30144.0,0.4861,249.2645,50.504,251.80945323894773,249.2645,246.71954676105227
2023-08-08 17:30:00,249.09,249.25,249.03,249.2,11621.0,0.7088,249.3522,51.2858,251.89042875920305,249.3522,246.81397124079697
2023-08-08 17:45:00,249.23,249.25,249.1,249.15,15275.0,0.2696,249.3857,50.9011,251.89282236318607,249.3857,246.87857763681396
2023-08-08 18:00:00,249.15,249.3,249.11,249.25,22347.0,0.0156,249.3877,51.6644,251.8328058349258,249.3877,246.94259416507418
2023-08-08 18:15:00,249.21,249.4,249.21,249.35,8923.0,0.0722,249.3967,52.4427,251.75549949521124,249.3967,247.03790050478878
2023-08-08 18:30:00,249.35,249.4,249.2,249.26,10513.0,0.0924,249.4082,51.6548,251.6759396518967,249.4082,247.1404603481033
2023-08-08 18:45:00,249.27,249.3,249.22,249.225,17442.0,0.0265,249.4115,51.339,251.5692024479597,249.4115,247.25379755204028
2023-08-08 19:00:00,249.22,249.24,249.12,249.15,23111.0,-0.2462,249.3807,50.6408,251.40255948809613,249.3807,247.35884051190385
2023-08-08 19:15:00,249.2,249.23,249.07,249.1,13995.0,-0.2403,249.3507,50.162,251.19547628245132,249.3507,247.50592371754865
2023-08-08 19:30:00,249.09,249.1,248.95,248.97,17034.0,-0.1604,249.3307,48.8968,250.95087456286873,249.3307,247.71052543713128
2023-08-08 19:45:00,248.98,249.24,248.79,248.79,38782.0,-0.5019,249.268,47.1631,250.59832573072907,249.268,247.93767426927093
2023-08-09 04:00:00,251.1,252.2,250.32,251.55,62712.0,0.8136,249.3695,66.3949,250.21859341065388,249.3695,248.5204065893461
2023-08-09 04:15:00,251.55,251.83,251.16,251.79,17253.0,0.915,249.4836,67.4784,250.37241251689602,249.4836,248.59478748310397
2023-08-09 04:30:00,251.75,252.11,251.65,251.7,23664.0,0.8325,249.5875,66.6304,250.4668392063922,249.5875,248.70816079360782
2023-08-09 04:45:00,251.72,251.95,251.51,251.88,7749.0,0.9054,249.7005,67.4905,251.10677825813835,249.7005,248.29422174186166
2023-08-09 05:00:00,251.87,251.88,251.6,251.77,16515.0,0.9462,249.8185,66.3897,252.0358910691049,249.8185,247.6011089308951
2023-08-09 05:15:00,251.75,251.82,251.5,251.68,9954.0,0.9142,249.9325,65.4701,252.49660813378958,249.9325,247.36839186621043
2023-08-09 05:30:00,251.68,251.75,251.57,251.69,7389.0,0.9182,250.047,65.5259,253.0617736924189,250.047,247.03222630758108
2023-08-09 05:45:00,251.69,251.8,251.45,251.67,14104.0,0.9284,250.1628,65.3035,253.5353746466896,250.1628,246.7902253533104
2023-08-09 06:00:00,251.62,251.72,251.35,251.35,8564.0,0.9478,250.2808,61.7726,254.022076618611,250.2808,246.539523381389
2023-08-09 06:15:00,251.39,251.59,251.36,251.59,5405.0,1.0037,250.4058,63.3376,254.9208879767229,250.4058,245.8907120232771
2023-08-09 06:30:00,251.54,251.63,251.3,251.31,4951.0,0.8467,250.5113,60.3057,255.740967318045,250.5113,245.28163268195502
2023-08-09 06:45:00,251.31,251.43,251.17,251.17,14900.0,0.8108,250.6123,58.8237,256.14516751115747,250.6123,245.0794324888425
2023-08-09 07:00:00,251.16,251.28,250.75,250.86,59695.0,0.6459,250.6928,55.6368,256.5059923026407,250.6928,244.87960769735926
2023-08-09 07:15:00,250.86,250.9,250.56,250.67,32580.0,0.5294,250.7588,53.7578,256.7917503861307,250.7588,244.72584961386934
2023-08-09 07:30:00,250.67,251.09,250.59,250.99,47683.0,0.6941,250.8453,56.3701,257.00467594042993,250.8453,244.6859240595701
2023-08-09 07:45:00,250.99,251.2,250.8,250.96,33934.0,0.6962,250.932,56.0576,257.07724940268156,250.932,244.7867505973184
2023-08-09 08:00:00,251.105,252.22,249.43,250.88,185742.0,0.6944,251.0185,55.1986,257.12258714615234,251.0185,244.9144128538476
2023-08-09 08:15:00,250.9,251.1,250.61,250.95,53412.0,0.7427,251.111,55.8221,256.9896657852047,251.111,245.2323342147953
2023-08-09 08:30:00,250.9,251.09,249.7,250.51,571113.0,0.6185,251.188,51.1153,256.7191088636988,251.188,245.65689113630117
2023-08-09 08:45:00,250.515,250.98,250.5,250.735,42251.0,0.7818,251.2853,53.2377,256.4661169532441,251.2853,246.1044830467559
2023-08-09 09:00:00,250.71,250.91,250.5,250.6,66104.0,-0.3777,251.2378,51.8168,255.92748732035184,251.2378,246.54811267964814
2023-08-09 09:15:00,250.6,251.35,250.542,251.03,142854.0,-0.3018,251.1998,55.7743,255.27062181899007,251.1998,247.12897818100996
2023-08-09 09:30:00,250.87,251.1,247.2,247.6,7028544.0,-1.6289,250.9948,33.0095,254.16011238613928,250.9948,247.82948761386072
2023-08-09 09:45:00,247.6,248.42,245.78,247.085,6340181.0,-1.9037,250.755,31.0091,253.531589079828,250.755,247.978410920172
